Movie Title,Runtime,Genre,Award Wins,Award Nominations,Box Office,Rated,Director,Released
Parasite,132,"Drama, Thriller",309,265,53369749,R,Bong Joon Ho,08 Nov 2019
Green Book,130,"Biography, Comedy, Drama",58,123,85080171,PG-13,Peter Farrelly,16 Nov 2018
The Shape of Water,123,"Drama, Fantasy, Romance",136,350,63859435,R,Guillermo del Toro,22 Dec 2017
Moonlight,111,Drama,233,309,27854932,R,Barry Jenkins,18 Nov 2016
Spotlight,129,"Biography, Crime, Drama",124,144,45055776,R,Tom McCarthy,20 Nov 2015
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",192,294,42340598,R,Alejandro G. Iñárritu,14 Nov 2014
12 Years a Slave,134,"Biography, Drama, History",243,337,56671993,R,Steve McQueen,08 Nov 2013
Argo,120,"Biography, Drama, Thriller",95,156,136025503,R,Ben Affleck,12 Oct 2012
The Artist,100,"Comedy, Drama, Romance",162,204,44671682,PG-13,Michel Hazanavicius,20 Jan 2012
The King's Speech,118,"Biography, Drama, History",108,206,138797449,R,Tom Hooper,25 Dec 2010
Everything Everywhere All at Once,139,"Action, Adventure, Comedy",402,373,77191785,R,"Daniel Kwan, Daniel Scheinert",08 Apr 2022
No Country for Old Men,122,"Crime, Drama, Thriller",164,139,74283625,R,"Ethan Coen, Joel Coen",21 Nov 2007
The Departed,151,"Crime, Drama, Thriller",98,141,132399394,R,Martin Scorsese,06 Oct 2006
Braveheart,178,"Biography, Drama, History",34,34,75609945,R,Mel Gibson,24 May 1995
Rocky,120,"Drama, Sport",21,23,117235147,PG,John G. Avildsen,03 Dec 1976
